claimType,coverage,channel,_fee_tert,coverage_duration_tier,n_total,n_decl,n_border,mean_p_approve,decline_rate,lift_decl,pearson_residual_decl
Accidental Damage,ADLD/THEFT,Online Portal,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Online Portal,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_low,tier_appx_12mo,1,0,0,1.0,0.0,0.0,-0.3966001344763598
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_mid,tier_appx_12mo,4,0,0,0.915,0.0,0.0,-0.7932002689527196
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_mid,tier_appx_24mo,3,0,0,0.8166666666666668,0.0,0.0,-0.6869315832017042
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Phone Call,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_high,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Accidental Damage,ADLD/THEFT,Whatsapp,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_mid,tier_appx_24mo,1,0,0,0.96,0.0,0.0,-0.3966001344763598
Liquid Damage,ADLD,Email,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_high,tier_appx_12mo,1,0,0,0.87,0.0,0.0,-0.3966001344763598
Liquid Damage,ADLD,Email,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Email,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_high,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Facebook,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Online Portal,fee_ratio_low,outlier_lt120d,2,0,0,0.825,0.0,0.0,-0.5608772890154613
Liquid Damage,ADLD,Online Portal,fee_ratio_low,tier_appx_24mo,1,0,0,0.94,0.0,0.0,-0.3966001344763598
Liquid Damage,ADLD,Online Portal,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Online Portal,fee_ratio_mid,outlier_lt120d,2,0,0,0.795,0.0,0.0,-0.5608772890154613
Liquid Damage,ADLD,Online Portal,fee_ratio_mid,tier_appx_24mo,5,0,0,0.93,0.0,0.0,-0.8868248605746983
Liquid Damage,ADLD,Online Portal,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Online Portal,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Online Portal,fee_ratio_high,tier_appx_24mo,3,0,0,0.8466666666666667,0.0,0.0,-0.6869315832017042
Liquid Damage,ADLD,Online Portal,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Online Portal,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Online Portal,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Online Portal,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_high,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Phone Call,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_high,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD,Whatsapp,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_high,tier_appx_12mo,1,0,0,0.97,0.0,0.0,-0.3966001344763598
Liquid Damage,ADLD/THEFT,Email,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Email,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_low,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_mid,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_mid,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_mid,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_high,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_high,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_high,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,fee_ratio_high,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,,tier_appx_12mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Facebook,,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Online Portal,fee_ratio_low,outlier_lt120d,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Online Portal,fee_ratio_low,tier_appx_12mo,3,0,0,0.92,0.0,0.0,-0.6869315832017042
Liquid Damage,ADLD/THEFT,Online Portal,fee_ratio_low,tier_appx_24mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Online Portal,fee_ratio_low,tier_appx_6mo,0,0,0,,0.0,0.0,0.0
Liquid Damage,ADLD/THEFT,Online Portal,fee_ratio_mid,outlier_lt120d,0,0,0,,0.0,0.0,0.0
